id,name,durability,hunger_restoration,description,price
dried_fruit,Dried Fruit,N/A,12,Leathery fruit slices, portable sweetness from sun-baked vines.,4
salted_meat,Salted Meat,N/A,25,Cured slabs of flesh, preserved against time's hunger.,11
cookies,Cookies,N/A,18,Sugar-dusted bites, crumbly comfort from cookie sheets.,7
cram,Cram,N/A,60,Norwegian hardtack, dense dwarf-bread for dire days.,25
journey_bread,Journey Bread,N/A,70,Traveler's loaf that lasts weeks, tough as the road.,28
lembas,Lembas,N/A,100,Elven waybread wrapped in mallorn leaves, a week's sustenance in a morsel.,50
pasties,Pasties,N/A,35,Cornish meat-filled pastries, portable pies for pit miners.,13
krumkake,Krumkake,N/A,22,Norwegian waffle cones, rolled sweet for festival fairs.,9
bangers_and_mash,Bangers and Mash,N/A,40,Sausage and spud smash, British belly-bomb for pubs.,14
tagine,Tagine,N/A,45,Moroccan slow-stew of spices and lamb, aromatic escape in tents.,18
